                             C                           lam                             R                            Et                            Ef                             E                            Ft                            Ff                             F
      9.548096192384769587e-01      1.000000000000000000e+00      7.019470770527138637e-01      0.000000000000000000e+00      5.016409763299949300e-19      5.016409763299949300e-19      0.000000000000000000e+00     -1.935490432038939142e-17     -1.935490432038939142e-17
      9.552104208416832831e-01      1.000000000000000000e+00      7.034722081976457764e-01      0.000000000000000000e+00      4.939060929147729934e-19      4.939060929147729934e-19      0.000000000000000000e+00     -1.924218284741776391e-17     -1.924218284741776391e-17
      9.556112224448897186e-01      1.000000000000000000e+00      7.050069446118751859e-01      0.000000000000000000e+00      4.862165486350961554e-19      4.862165486350961554e-19      0.000000000000000000e+00     -1.912857431518787595e-17     -1.912857431518787595e-17
      9.560120240480961540e-01      1.000000000000000000e+00      7.065513884356366958e-01      0.000000000000000000e+00      4.785725951080112827e-19      4.785725951080112827e-19      0.000000000000000000e+00     -1.901449239419248246e-17     -1.901449239419248246e-17
      9.564128256513025894e-01      1.000000000000000000e+00      7.081056433349895984e-01      0.000000000000000000e+00      4.709744866990791250e-19      4.709744866990791250e-19      0.000000000000000000e+00     -1.889990760325895974e-17     -1.889990760325895974e-17
      9.568136272545090248e-01      1.000000000000000000e+00      7.096698145377604572e-01      0.000000000000000000e+00      4.634224805320110905e-19      4.634224805320110905e-19      0.000000000000000000e+00     -1.878479133751280879e-17     -1.878479133751280879e-17
      9.572144288577153493e-01      1.000000000000000000e+00      7.112440088556457596e-01      0.000000000000000000e+00      4.559168365703105721e-19      4.559168365703105721e-19      0.000000000000000000e+00     -1.866829002480267717e-17     -1.866829002480267717e-17
      9.576152304609217847e-01      1.000000000000000000e+00      7.128283347202889475e-01      0.000000000000000000e+00      4.484578176347990057e-19      4.484578176347990057e-19      0.000000000000000000e+00     -1.855203600631222973e-17     -1.855203600631222973e-17
      9.580160320641282201e-01      1.000000000000000000e+00      7.144229022142190022e-01      0.000000000000000000e+00      4.410456894509752585e-19      4.410456894509752585e-19      0.000000000000000000e+00     -1.843436189374763864e-17     -1.843436189374763864e-17
      9.584168336673346555e-01      1.000000000000000000e+00      7.160278231053430753e-01      0.000000000000000000e+00      4.336807206842255760e-19      4.336807206842255760e-19      0.000000000000000000e+00     -1.831685996654231306e-17     -1.831685996654231306e-17
      9.588176352705410910e-01      1.000000000000000000e+00      7.176432108710555369e-01      0.000000000000000000e+00      4.263631830268892418e-19      4.263631830268892418e-19      0.000000000000000000e+00     -1.819790410185889609e-17     -1.819790410185889609e-17
      9.592184368737474154e-01      1.000000000000000000e+00      7.192691807485682709e-01      0.000000000000000000e+00      4.190933511701079817e-19      4.190933511701079817e-19      0.000000000000000000e+00     -1.807827250539519141e-17     -1.807827250539519141e-17
      9.596192384769538508e-01      1.000000000000000000e+00      7.209058497521977360e-01      0.000000000000000000e+00      4.118715029308034877e-19      4.118715029308034877e-19      0.000000000000000000e+00     -1.795870492684283816e-17     -1.795870492684283816e-17
      9.600200400801602862e-01      1.000000000000000000e+00      7.225533367238625715e-01      0.000000000000000000e+00      4.046979192334727583e-19      4.046979192334727583e-19      0.000000000000000000e+00     -1.783763538534181779e-17     -1.783763538534181779e-17
      9.604208416833667217e-01      1.000000000000000000e+00      7.242117623574966245e-01      0.000000000000000000e+00      3.975728842131673796e-19      3.975728842131673796e-19      0.000000000000000000e+00     -1.771618685453151604e-17     -1.771618685453151604e-17
      9.608216432865730461e-01      1.000000000000000000e+00      7.258812492427390017e-01      0.000000000000000000e+00      3.904966852378715793e-19      3.904966852378715793e-19      0.000000000000000000e+00     -1.759395224819217535e-17     -1.759395224819217535e-17
